Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mat.1.1#01	Βίβλος	The book	G976=N-NSF	βίβλος=book	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Libro	book	#01	G976_A	
Mat.1.1#02	γενέσεως	of the generation	G1078=N-GSF	γένεσις=origin	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de origen	origin	#02	G1078_A	
Mat.1.1#03	Ἰησοῦ	of Jesus	G2424=N-GSM	Ἰησοῦς=Jesus/Joshua	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de Jesús	Jesus»Jesus|Jesus@Mat.1.1	#03	G2424_A	
Mat.1.1#04	Χριστοῦ	Christ	G5547=N-GSM	Χριστός=Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Ungido	Christ»Christ|Jesus@Mat.1.1	#04	G5547_A	
Mat.1.1#05	υἱοῦ	the son	G5207=N-GSM	υἱός=son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			hijo	son	#05	G5207_A	
Mat.1.1#06	Δαυὶδ	of David	G1138=N-PRI	Δαυείδ, Δαυίδ, Δαβίδ=David	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn+WH: Δαυεὶδ ; +TR: Δαβὶδ ;	de David	David»David|David@Rut.4.17	#06	G1138_A	
Mat.1.1#07	υἱοῦ	the son	G5207=N-GSM	υἱός=son	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			hijo	son	#07	G5207_B	
Mat.1.1#08	Ἀβραάμ.	of Abraham	G11=N-PRI	Ἀβραάμ=Abraham	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn: Ἁβραάμ ;	de Abrahán	Abraham»Abraham|Abraham@Gen.11.26	#08	G11_A	
Mat.1.2#01	Ἀβραὰμ	Abraham	G11=N-PRI	Ἀβραάμ=Abraham	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn: Ἁβραὰμ ;	Abrahán	Abraham»Abraham|Abraham@Gen.11.26	#01	G11_A	
Mat.1.2#02	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#02	G1080_A	
Mat.1.2#03	τὸν Ἰσαάκ·	Isaac	G3588/G2464=T-ASM	Ἰσαάκ=Isaac / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Isaac	the Isaac»Isaac|Isaac@Gen.17.19	#03»04:G2464 #04	G3588_A	
Mat.1.2#04	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#06	G1161_A	
Mat.1.2#05	ισαακ	Isaac	G2464=N-PRI								G2464_A	
Mat.1.2#06	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#07	G1080_B	
Mat.1.2#07	τὸν Ἰακώβ·	Jacob	G3588/G2384=T-ASM	Ἰακώβ=Jacob / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Jacob	the Israel»Israel|Israel@Gen.25.26	#08»09:G2384 #09	G3588_B	
Mat.1.2#08	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#11	G1161_B	
Mat.1.2#09	ιακωβ	Jacob	G2384=N-PRI								G2384_A	
Mat.1.2#10	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#12	G1080_C	
Mat.1.2#11	τὸν Ἰούδαν	Judas	G3588/G2455=T-ASM	Ἰούδας=Judah/Judas/Jude / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Judá	the Judah»Judah|Judah@Gen.29.35	#13»14:G2455 #14	G3588_C	
Mat.1.2#12	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#15	G2532_A	
Mat.1.2#13	αὐτοῦ·	his	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él	his	#18«17:G0080	G846_A	G3778
Mat.1.2#14	τους	brethren	G3588/G80=T-APM								G3588_D	
Mat.1.3#01	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Mat.1.3#02	ιουδας	Judas	G2455=N-NSM								G2455_A	
Mat.1.3#03	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#03	G1080_A	
Mat.1.3#04	τὸν Φάρες	Phares	G3588/G5329=T-ASM	Φάρες=Perez / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Pérez	the Perez»Perez|Perez@Gen.38.29	#04»05:G5329 #05	G3588_A	
Mat.1.3#05	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#06	G2532_A	
Mat.1.3#06	τὸν Ζάρα	Zara	G3588/G2196=T-ASM	Ζαρά=Zerah / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Zérah	the Zerah»Zerah|Zerah@Gen.38.30	#07»08:G2196 #08	G3588_B	
Mat.1.3#07	ἐκ	of	G1537=PREP	ἐκ=out from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			procedente de	out of	#09	G1537_A	
Mat.1.3#08	τῆς Θαμάρ·	Thamar	G3588/G2283=T-GSF	Θάμαρ=Tamar / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			la Tamar	the Tamar»Tamar|Tamar@Gen.38.6	#10»11:G2283 #11	G3588_C	
